Columbia,SC,Yes,74.6,84.2,69.25,73.57
Greenville,SC,Yes,75.75,85.7,67.11,116.46
Chattanooga,TN,Yes,72.94,80.35,65.89,116.33
Knoxville,TN,Yes,66.87,69.13,65.7,129.1
Memphis,TN,Yes,78.8,84.63,73.14,125.81
Nashville,TN,Yes,78.28,83.87,74.48,116.83
Austin,TX,No,78.12,81.79,77.67,122.65
College Station,TX,No,66.43,75.55,59.93,100.41
Dallas,TX,No,70.47,69.25,68.82,171.08
Fort Worth,TX,No,73.02,75.47,67.27,138.85
Houston,TX,No,74.95,79.6,72.1,147.15
Plano,TX,No,78.55,78.1,66.46,149.09
San Antonio,TX,No,64.53,64.35,64.45,151.28
Salt Lake City,UT,Yes,70.3,70.54,71.5,137.74
Arlington,VA,Yes,93.17,93.16,85.61,117.45
Richmond,VA,Yes,76.27,88.48,65.84,110.98
Virginia Beach,VA,Yes,72.88,75.53,69.37,126.81
Burlington,VT,Yes,87.21,97.28,82.09,95.31
Bellevue,WA,No,91.18,97.99,80.55,138.68
Everett,WA,No,82.76,94.42,72.62,100.36
Olympia,WA,No,84.07,92.66,73.7,171.26
Seattle,WA,No,93.31,98.17,86.72,121.29
Spokane,WA,No,73.72,77.5,67.93,108.18
Tacoma,WA,No,86.78,91.42,75.32,110.13
Vancouver,WA,No,71.41,69.54,67.33,114.44
Madison,WI,Yes,70.79,70.54,69.64,120.06
Milwaukee,WI,Yes,79.48,81.2,75.73,127.22
